#datatype measurement,tag,double,dateTime
m,ISIN,EUR,time
NAV,LU1050469367,116.45,1604016000
NAV,LU1050469367,116.55,1603929600
NAV,LU1050469367,116.53,1603843200
NAV,LU1050469367,116.67,1603756800
NAV,LU1050469367,116.49,1603670400
NAV,LU1050469367,116.23,1603411200
NAV,LU1050469367,116.47,1603324800
NAV,LU1050469367,116.61,1603238400
NAV,LU1050469367,116.61,1603152000
NAV,LU1050469367,116.68,1603065600
NAV,LU1050469367,116.62,1602806400
NAV,LU1050469367,116.54,1602720000
NAV,LU1050469367,116.20,1602633600
NAV,LU1050469367,116.37,1602547200
NAV,LU1050469367,116.27,1602460800
NAV,LU1050469367,116.20,1602201600
NAV,LU1050469367,116.13,1602115200
NAV,LU1050469367,115.71,1602028800
NAV,LU1050469367,115.96,1601942400
NAV,LU1050469367,115.61,1601856000
NAV,LU1050469367,115.81,1601596800
NAV,LU1050469367,115.76,1601510400
NAV,LU1050469367,115.63,1601424000
NAV,LU1050469367,115.43,1601337600
NAV,LU1050469367,115.58,1601251200
NAV,LU1050469367,115.56,1600992000
NAV,LU1050469367,115.57,1600905600
NAV,LU1050469367,115.44,1600819200
NAV,LU1050469367,115.49,1600732800
NAV,LU1050469367,115.91,1600646400
NAV,LU1050469367,115.84,1600387200
NAV,LU1050469367,115.87,1600300800
NAV,LU1050469367,115.73,1600214400
NAV,LU1050469367,115.49,1600128000
NAV,LU1050469367,115.48,1600041600
NAV,LU1050469367,115.77,1599782400
NAV,LU1050469367,115.52,1599696000
NAV,LU1050469367,115.67,1599609600
NAV,LU1050469367,115.86,1599523200
NAV,LU1050469367,115.76,1599436800
NAV,LU1050469367,115.81,1599177600
NAV,LU1050469367,115.94,1599091200
NAV,LU1050469367,115.80,1599004800
NAV,LU1050469367,115.17,1598918400
NAV,LU1050469367,115.09,1598832000
NAV,LU1050469367,115.12,1598572800
NAV,LU1050469367,115.35,1598486400
NAV,LU1050469367,115.40,1598400000
NAV,LU1050469367,115.73,1598313600
NAV,LU1050469367,116.04,1598227200
NAV,LU1050469367,116.04,1597968000
NAV,LU1050469367,115.43,1597881600
NAV,LU1050469367,115.34,1597795200
NAV,LU1050469367,115.82,1597708800
NAV,LU1050469367,115.19,1597622400
NAV,LU1050469367,115.06,1597363200
NAV,LU1050469367,115.03,1597276800
NAV,LU1050469367,115.73,1597190400
NAV,LU1050469367,115.75,1597104000
NAV,LU1050469367,115.26,1597017600
NAV,LU1050469367,115.60,1596758400
NAV,LU1050469367,115.65,1596672000
NAV,LU1050469367,115.44,1596585600
NAV,LU1050469367,115.00,1596499200
NAV,LU1050469367,115.36,1596412800
NAV,LU1050469367,115.47,1596153600
NAV,LU1050469367,115.52,1596067200
NAV,LU1050469367,115.39,1595980800
NAV,LU1050469367,115.46,1595894400
NAV,LU1050469367,115.33,1595808000
NAV,LU1050469367,115.12,1595548800
NAV,LU1050469367,115.29,1595462400
NAV,LU1050469367,114.71,1595376000
NAV,LU1050469367,115.04,1595289600
NAV,LU1050469367,114.24,1595203200
NAV,LU1050469367,114.63,1594944000
NAV,LU1050469367,114.64,1594857600
NAV,LU1050469367,114.41,1594771200
NAV,LU1050469367,114.24,1594684800
NAV,LU1050469367,113.48,1594598400
NAV,LU1050469367,114.26,1594339200
NAV,LU1050469367,113.67,1594252800
NAV,LU1050469367,114.10,1594166400
NAV,LU1050469367,113.49,1594080000
NAV,LU1050469367,114.10,1593993600
NAV,LU1050469367,113.99,1593734400
NAV,LU1050469367,113.36,1593648000
NAV,LU1050469367,113.00,1593561600
NAV,LU1050469367,113.25,1593475200
NAV,LU1050469367,113.24,1593388800
NAV,LU1050469367,113.90,1593129600
NAV,LU1050469367,113.34,1593043200
NAV,LU1050469367,113.88,1592956800
NAV,LU1050469367,113.82,1592870400
NAV,LU1050469367,113.97,1592784000
NAV,LU1050469367,113.94,1592524800
NAV,LU1050469367,113.93,1592438400
NAV,LU1050469367,114.06,1592352000
NAV,LU1050469367,114.13,1592265600
NAV,LU1050469367,113.04,1592179200
NAV,LU1050469367,113.74,1591920000
NAV,LU1050469367,113.96,1591833600
NAV,LU1050469367,113.99,1591747200
NAV,LU1050469367,113.27,1591660800
NAV,LU1050469367,113.51,1591574400
NAV,LU1050469367,114.92,1591315200
NAV,LU1050469367,113.04,1591228800
NAV,LU1050469367,112.64,1591142400
NAV,LU1050469367,112.44,1591056000
NAV,LU1050469367,111.66,1590969600
NAV,LU1050469367,112.31,1590710400
NAV,LU1050469367,112.17,1590624000
NAV,LU1050469367,111.51,1590537600
NAV,LU1050469367,111.61,1590451200
NAV,LU1050469367,111.00,1590364800
NAV,LU1050469367,111.49,1590105600
NAV,LU1050469367,110.65,1589932800
NAV,LU1050469367,110.93,1589846400
NAV,LU1050469367,110.39,1589760000
NAV,LU1050469367,111.04,1589500800
NAV,LU1050469367,110.57,1589414400
NAV,LU1050469367,111.34,1589328000
NAV,LU1050469367,110.90,1589241600
NAV,LU1050469367,111.03,1589155200
NAV,LU1050469367,111.14,1588896000
NAV,LU1050469367,111.13,1588809600
NAV,LU1050469367,111.06,1588723200
NAV,LU1050469367,111.97,1588636800
NAV,LU1050469367,111.85,1588550400
NAV,LU1050469367,112.48,1588204800
NAV,LU1050469367,111.99,1588118400
NAV,LU1050469367,111.49,1588032000
NAV,LU1050469367,111.25,1587945600
NAV,LU1050469367,111.41,1587686400
NAV,LU1050469367,110.25,1587600000
NAV,LU1050469367,110.46,1587513600
NAV,LU1050469367,111.65,1587427200
NAV,LU1050469367,111.67,1587340800
NAV,LU1050469367,110.18,1587081600
NAV,LU1050469367,110.07,1586995200
NAV,LU1050469367,111.32,1586908800
NAV,LU1050469367,110.69,1586822400
NAV,LU1050469367,109.81,1586390400
NAV,LU1050469367,108.08,1586304000
NAV,LU1050469367,107.77,1586217600
NAV,LU1050469367,107.70,1586131200
NAV,LU1050469367,108.20,1585872000
NAV,LU1050469367,108.16,1585785600
NAV,LU1050469367,107.14,1585699200
NAV,LU1050469367,107.21,1585612800
NAV,LU1050469367,107.27,1585526400
NAV,LU1050469367,106.98,1585267200
NAV,LU1050469367,108.03,1585180800
NAV,LU1050469367,106.75,1585094400
NAV,LU1050469367,103.33,1585008000
NAV,LU1050469367,103.74,1584921600
NAV,LU1050469367,104.60,1584662400
NAV,LU1050469367,102.92,1584576000
NAV,LU1050469367,102.96,1584489600
NAV,LU1050469367,105.31,1584403200
NAV,LU1050469367,107.87,1584316800
NAV,LU1050469367,109.35,1584057600
NAV,LU1050469367,110.63,1583971200
NAV,LU1050469367,114.27,1583884800
NAV,LU1050469367,114.53,1583798400
NAV,LU1050469367,114.74,1583712000
NAV,LU1050469367,115.85,1583452800
NAV,LU1050469367,116.22,1583366400
NAV,LU1050469367,116.13,1583280000
NAV,LU1050469367,115.98,1583193600
NAV,LU1050469367,115.88,1583107200
