#datatype measurement,tag,double,dateTime
m,ISIN,EUR,time
NAV,LU0996177134,146.19,1603929600
NAV,LU0996177134,145.10,1603843200
NAV,LU0996177134,145.76,1603756800
NAV,LU0996177134,146.07,1603670400
NAV,LU0996177134,146.60,1603411200
NAV,LU0996177134,146.71,1603324800
NAV,LU0996177134,146.28,1603238400
NAV,LU0996177134,145.79,1603152000
NAV,LU0996177134,146.03,1603065600
NAV,LU0996177134,146.42,1602806400
NAV,LU0996177134,146.20,1602720000
NAV,LU0996177134,147.39,1602633600
NAV,LU0996177134,147.20,1602547200
NAV,LU0996177134,146.45,1602460800
NAV,LU0996177134,144.49,1602201600
NAV,LU0996177134,145.13,1602115200
NAV,LU0996177134,143.21,1602028800
NAV,LU0996177134,142.15,1601942400
NAV,LU0996177134,141.19,1601856000
NAV,LU0996177134,140.71,1601596800
NAV,LU0996177134,140.82,1601510400
NAV,LU0996177134,140.29,1601424000
NAV,LU0996177134,138.55,1601337600
NAV,LU0996177134,139.71,1601251200
NAV,LU0996177134,138.60,1600992000
NAV,LU0996177134,138.18,1600905600
NAV,LU0996177134,140.89,1600819200
NAV,LU0996177134,141.15,1600732800
NAV,LU0996177134,141.17,1600646400
NAV,LU0996177134,142.62,1600387200
NAV,LU0996177134,142.50,1600300800
NAV,LU0996177134,143.51,1600214400
NAV,LU0996177134,143.19,1600128000
NAV,LU0996177134,141.32,1600041600
NAV,LU0996177134,140.74,1599782400
NAV,LU0996177134,139.44,1599696000
NAV,LU0996177134,140.20,1599609600
NAV,LU0996177134,140.65,1599523200
NAV,LU0996177134,141.14,1599436800
NAV,LU0996177134,142.12,1599177600
NAV,LU0996177134,142.85,1599091200
NAV,LU0996177134,144.08,1599004800
NAV,LU0996177134,142.77,1598918400
NAV,LU0996177134,139.91,1598832000
NAV,LU0996177134,143.74,1598572800
NAV,LU0996177134,144.47,1598486400
NAV,LU0996177134,144.38,1598400000
NAV,LU0996177134,143.71,1598313600
NAV,LU0996177134,142.98,1598227200
NAV,LU0996177134,141.29,1597968000
NAV,LU0996177134,139.09,1597881600
NAV,LU0996177134,140.82,1597795200
NAV,LU0996177134,141.28,1597708800
NAV,LU0996177134,140.77,1597622400
NAV,LU0996177134,140.85,1597363200
NAV,LU0996177134,141.15,1597276800
NAV,LU0996177134,141.24,1597190400
NAV,LU0996177134,140.83,1597104000
NAV,LU0996177134,140.69,1597017600
NAV,LU0996177134,140.80,1596758400
NAV,LU0996177134,142.37,1596672000
NAV,LU0996177134,141.41,1596585600
NAV,LU0996177134,141.21,1596499200
NAV,LU0996177134,139.91,1596412800
NAV,LU0996177134,138.51,1596153600
NAV,LU0996177134,139.29,1596067200
NAV,LU0996177134,140.11,1595980800
NAV,LU0996177134,140.05,1595894400
NAV,LU0996177134,138.34,1595808000
NAV,LU0996177134,139.02,1595548800
NAV,LU0996177134,141.63,1595462400
NAV,LU0996177134,141.61,1595376000
NAV,LU0996177134,143.47,1595289600
NAV,LU0996177134,141.80,1595203200
NAV,LU0996177134,140.78,1594944000
NAV,LU0996177134,138.93,1594857600
NAV,LU0996177134,142.28,1594771200
NAV,LU0996177134,141.02,1594684800
NAV,LU0996177134,143.49,1594598400
NAV,LU0996177134,143.80,1594339200
NAV,LU0996177134,145.01,1594252800
NAV,LU0996177134,143.74,1594166400
NAV,LU0996177134,141.39,1594080000
NAV,LU0996177134,142.51,1593993600
NAV,LU0996177134,139.71,1593734400
NAV,LU0996177134,138.56,1593648000
NAV,LU0996177134,134.51,1593561600
NAV,LU0996177134,134.00,1593475200
NAV,LU0996177134,134.13,1593388800
NAV,LU0996177134,135.28,1593129600
NAV,LU0996177134,135.69,1593043200
NAV,LU0996177134,135.99,1592956800
NAV,LU0996177134,135.78,1592870400
NAV,LU0996177134,134.36,1592784000
NAV,LU0996177134,135.23,1592524800
NAV,LU0996177134,134.43,1592438400
NAV,LU0996177134,133.78,1592352000
NAV,LU0996177134,133.44,1592265600
NAV,LU0996177134,129.36,1592179200
NAV,LU0996177134,132.95,1591920000
NAV,LU0996177134,132.23,1591833600
NAV,LU0996177134,135.10,1591747200
NAV,LU0996177134,134.66,1591660800
NAV,LU0996177134,135.03,1591574400
NAV,LU0996177134,134.23,1591315200
NAV,LU0996177134,132.01,1591228800
NAV,LU0996177134,133.37,1591142400
NAV,LU0996177134,130.99,1591056000
NAV,LU0996177134,129.33,1590969600
NAV,LU0996177134,126.56,1590710400
NAV,LU0996177134,126.62,1590624000
NAV,LU0996177134,127.40,1590537600
NAV,LU0996177134,127.14,1590451200
NAV,LU0996177134,126.52,1590364800
NAV,LU0996177134,125.66,1590105600
NAV,LU0996177134,127.61,1589932800
NAV,LU0996177134,127.24,1589846400
NAV,LU0996177134,126.57,1589760000
NAV,LU0996177134,125.46,1589500800
NAV,LU0996177134,125.92,1589414400
NAV,LU0996177134,126.30,1589328000
NAV,LU0996177134,125.88,1589241600
NAV,LU0996177134,127.37,1589155200
NAV,LU0996177134,126.25,1588896000
NAV,LU0996177134,125.73,1588809600
NAV,LU0996177134,125.74,1588723200
NAV,LU0996177134,124.41,1588636800
NAV,LU0996177134,122.48,1588550400
NAV,LU0996177134,127.37,1588204800
NAV,LU0996177134,128.01,1588118400
NAV,LU0996177134,125.87,1588032000
NAV,LU0996177134,124.75,1587945600
NAV,LU0996177134,122.85,1587686400
NAV,LU0996177134,124.38,1587600000
NAV,LU0996177134,123.51,1587513600
NAV,LU0996177134,122.09,1587427200
NAV,LU0996177134,124.78,1587340800
NAV,LU0996177134,124.99,1587081600
NAV,LU0996177134,123.14,1586995200
NAV,LU0996177134,122.50,1586908800
NAV,LU0996177134,122.90,1586822400
NAV,LU0996177134,122.05,1586390400
NAV,LU0996177134,121.41,1586304000
NAV,LU0996177134,121.80,1586217600
NAV,LU0996177134,119.53,1586131200
NAV,LU0996177134,115.82,1585872000
NAV,LU0996177134,116.49,1585785600
NAV,LU0996177134,114.26,1585699200
NAV,LU0996177134,116.25,1585612800
NAV,LU0996177134,113.82,1585526400
NAV,LU0996177134,114.46,1585267200
NAV,LU0996177134,116.49,1585180800
NAV,LU0996177134,116.46,1585094400
NAV,LU0996177134,111.99,1585008000
NAV,LU0996177134,105.84,1584921600
NAV,LU0996177134,113.29,1584662400
NAV,LU0996177134,107.62,1584576000
NAV,LU0996177134,109.26,1584489600
NAV,LU0996177134,113.15,1584403200
NAV,LU0996177134,112.38,1584316800
NAV,LU0996177134,120.93,1584057600
NAV,LU0996177134,119.65,1583971200
NAV,LU0996177134,126.08,1583884800
NAV,LU0996177134,127.68,1583798400
NAV,LU0996177134,124.67,1583712000
NAV,LU0996177134,134.85,1583452800
NAV,LU0996177134,139.96,1583366400
NAV,LU0996177134,140.33,1583280000
NAV,LU0996177134,138.49,1583193600
NAV,LU0996177134,137.15,1583107200
NAV,LU0996177134,137.91,1582848000
NAV,LU0996177134,140.81,1582761600
NAV,LU0996177134,144.13,1582675200
NAV,LU0996177134,145.95,1582588800
NAV,LU0996177134,146.41,1582502400
NAV,LU0996177134,150.49,1582243200
NAV,LU0996177134,152.69,1582156800
NAV,LU0996177134,154.04,1582070400
NAV,LU0996177134,152.48,1581984000
NAV,LU0996177134,154.10,1581897600
NAV,LU0996177134,153.67,1581638400
NAV,LU0996177134,153.57,1581552000
NAV,LU0996177134,153.42,1581465600
NAV,LU0996177134,151.72,1581379200
NAV,LU0996177134,149.89,1581292800
NAV,LU0996177134,149.98,1581033600
NAV,LU0996177134,151.30,1580947200
NAV,LU0996177134,149.17,1580860800
NAV,LU0996177134,148.16,1580774400
NAV,LU0996177134,144.49,1580688000
NAV,LU0996177134,144.07,1580428800
NAV,LU0996177134,146.53,1580342400
NAV,LU0996177134,150.37,1580256000
NAV,LU0996177134,150.68,1580169600
NAV,LU0996177134,150.71,1580083200
NAV,LU0996177134,152.77,1579824000
NAV,LU0996177134,153.09,1579737600
NAV,LU0996177134,154.20,1579651200
NAV,LU0996177134,152.98,1579564800
NAV,LU0996177134,155.75,1579478400
NAV,LU0996177134,155.73,1579219200
NAV,LU0996177134,154.23,1579132800
NAV,LU0996177134,153.72,1579046400
NAV,LU0996177134,154.96,1578960000
NAV,LU0996177134,154.81,1578873600
NAV,LU0996177134,153.67,1578614400
NAV,LU0996177134,153.26,1578528000
NAV,LU0996177134,150.61,1578441600
NAV,LU0996177134,150.90,1578355200
NAV,LU0996177134,149.81,1578268800
NAV,LU0996177134,151.65,1578009600
NAV,LU0996177134,151.76,1577923200
NAV,LU0996177134,149.42,1577750400
NAV,LU0996177134,149.88,1577664000
NAV,LU0996177134,151.03,1577404800
NAV,LU0996177134,150.26,1577145600
NAV,LU0996177134,150.85,1577059200
NAV,LU0996177134,150.34,1576800000
NAV,LU0996177134,149.75,1576713600
NAV,LU0996177134,149.90,1576627200
NAV,LU0996177134,148.64,1576540800
NAV,LU0996177134,146.87,1576454400
NAV,LU0996177134,146.77,1576195200
NAV,LU0996177134,144.78,1576108800
NAV,LU0996177134,143.53,1576022400
NAV,LU0996177134,142.30,1575936000
NAV,LU0996177134,142.77,1575849600
NAV,LU0996177134,142.75,1575590400
NAV,LU0996177134,141.37,1575504000
NAV,LU0996177134,140.56,1575417600
NAV,LU0996177134,140.74,1575331200
NAV,LU0996177134,141.24,1575244800
NAV,LU0996177134,141.86,1574985600
NAV,LU0996177134,143.52,1574899200
NAV,LU0996177134,143.96,1574812800
NAV,LU0996177134,143.06,1574726400
NAV,LU0996177134,143.87,1574640000
NAV,LU0996177134,142.93,1574380800
NAV,LU0996177134,141.84,1574294400
NAV,LU0996177134,142.98,1574208000
NAV,LU0996177134,143.49,1574121600
NAV,LU0996177134,142.80,1574035200
NAV,LU0996177134,142.73,1573776000
NAV,LU0996177134,142.49,1573689600
NAV,LU0996177134,142.59,1573603200
NAV,LU0996177134,144.18,1573516800
NAV,LU0996177134,143.50,1573430400
NAV,LU0996177134,145.29,1573171200
NAV,LU0996177134,146.16,1573084800
NAV,LU0996177134,145.13,1572998400
NAV,LU0996177134,145.45,1572912000
NAV,LU0996177134,143.50,1572825600
NAV,LU0996177134,140.75,1572566400
NAV,LU0996177134,140.45,1572480000
NAV,LU0996177134,140.80,1572393600
NAV,LU0996177134,141.20,1572307200
NAV,LU0996177134,141.39,1572220800
NAV,LU0996177134,140.45,1571961600
NAV,LU0996177134,140.49,1571875200
NAV,LU0996177134,139.47,1571788800
NAV,LU0996177134,139.69,1571702400
NAV,LU0996177134,138.73,1571616000
NAV,LU0996177134,138.21,1571356800
NAV,LU0996177134,139.06,1571270400
NAV,LU0996177134,139.28,1571184000
NAV,LU0996177134,138.80,1571097600
NAV,LU0996177134,137.77,1570752000
NAV,LU0996177134,135.51,1570665600
NAV,LU0996177134,135.92,1570579200
NAV,LU0996177134,135.85,1570492800
