#datatype measurement,tag,double,dateTime
m,ISIN,EUR,time
NAV,LU0996180864,219.91,1603929600
NAV,LU0996180864,218.87,1603843200
NAV,LU0996180864,217.73,1603756800
NAV,LU0996180864,217.45,1603670400
NAV,LU0996180864,217.91,1603411200
NAV,LU0996180864,217.38,1603324800
NAV,LU0996180864,219.45,1603238400
NAV,LU0996180864,216.58,1603152000
NAV,LU0996180864,219.26,1603065600
NAV,LU0996180864,217.97,1602806400
NAV,LU0996180864,220.49,1602720000
NAV,LU0996180864,221.14,1602633600
NAV,LU0996180864,221.24,1602547200
NAV,LU0996180864,219.54,1602460800
NAV,LU0996180864,219.29,1602201600
NAV,LU0996180864,220.87,1602115200
NAV,LU0996180864,219.48,1602028800
NAV,LU0996180864,219.64,1601942400
NAV,LU0996180864,218.13,1601856000
NAV,LU0996180864,216.68,1601596800
NAV,LU0996180864,217.86,1601510400
NAV,LU0996180864,218.16,1601424000
NAV,LU0996180864,221.98,1601337600
NAV,LU0996180864,222.51,1601251200
NAV,LU0996180864,219.60,1600992000
NAV,LU0996180864,218.86,1600905600
NAV,LU0996180864,220.85,1600819200
NAV,LU0996180864,220.93,1600732800
NAV,LU0996180864,221.11,1600646400
NAV,LU0996180864,219.40,1600387200
NAV,LU0996180864,218.82,1600300800
NAV,LU0996180864,219.33,1600214400
NAV,LU0996180864,217.18,1600128000
NAV,LU0996180864,217.72,1600041600
NAV,LU0996180864,215.63,1599782400
NAV,LU0996180864,213.58,1599696000
NAV,LU0996180864,212.11,1599609600
NAV,LU0996180864,215.05,1599523200
NAV,LU0996180864,212.59,1599436800
NAV,LU0996180864,214.13,1599177600
NAV,LU0996180864,215.66,1599091200
NAV,LU0996180864,214.61,1599004800
NAV,LU0996180864,211.64,1598918400
NAV,LU0996180864,212.03,1598832000
NAV,LU0996180864,212.82,1598572800
NAV,LU0996180864,213.92,1598486400
NAV,LU0996180864,215.13,1598400000
NAV,LU0996180864,214.35,1598313600
NAV,LU0996180864,213.55,1598227200
NAV,LU0996180864,213.51,1597968000
NAV,LU0996180864,211.81,1597881600
NAV,LU0996180864,213.29,1597795200
NAV,LU0996180864,213.03,1597708800
NAV,LU0996180864,212.66,1597622400
NAV,LU0996180864,214.29,1597363200
NAV,LU0996180864,213.21,1597276800
NAV,LU0996180864,211.15,1597190400
NAV,LU0996180864,210.46,1597104000
NAV,LU0996180864,206.11,1596758400
NAV,LU0996180864,206.17,1596672000
NAV,LU0996180864,206.15,1596585600
NAV,LU0996180864,207.71,1596499200
NAV,LU0996180864,203.46,1596412800
NAV,LU0996180864,199.24,1596153600
NAV,LU0996180864,206.70,1596067200
NAV,LU0996180864,208.08,1595980800
NAV,LU0996180864,211.79,1595894400
NAV,LU0996180864,211.43,1595808000
NAV,LU0996180864,212.49,1595548800
NAV,LU0996180864,210.76,1595462400
NAV,LU0996180864,210.45,1595376000
NAV,LU0996180864,214.00,1595289600
NAV,LU0996180864,213.57,1595203200
NAV,LU0996180864,213.67,1594944000
NAV,LU0996180864,214.27,1594857600
NAV,LU0996180864,216.63,1594771200
NAV,LU0996180864,212.83,1594684800
NAV,LU0996180864,214.57,1594598400
NAV,LU0996180864,211.62,1594339200
NAV,LU0996180864,213.95,1594252800
NAV,LU0996180864,212.51,1594166400
NAV,LU0996180864,215.14,1594080000
NAV,LU0996180864,215.46,1593993600
NAV,LU0996180864,213.47,1593734400
NAV,LU0996180864,212.24,1593648000
NAV,LU0996180864,210.93,1593561600
NAV,LU0996180864,213.21,1593475200
NAV,LU0996180864,211.83,1593388800
NAV,LU0996180864,217.27,1593129600
NAV,LU0996180864,215.19,1593043200
NAV,LU0996180864,217.15,1592956800
NAV,LU0996180864,218.07,1592870400
NAV,LU0996180864,217.29,1592784000
NAV,LU0996180864,218.89,1592524800
NAV,LU0996180864,218.68,1592438400
NAV,LU0996180864,218.37,1592352000
NAV,LU0996180864,218.65,1592265600
NAV,LU0996180864,209.24,1592179200
NAV,LU0996180864,215.62,1591920000
NAV,LU0996180864,216.69,1591833600
NAV,LU0996180864,220.78,1591747200
NAV,LU0996180864,220.33,1591660800
NAV,LU0996180864,219.95,1591574400
NAV,LU0996180864,214.82,1591315200
NAV,LU0996180864,214.54,1591228800
NAV,LU0996180864,216.63,1591142400
NAV,LU0996180864,216.01,1591056000
NAV,LU0996180864,216.31,1590969600
NAV,LU0996180864,215.38,1590710400
NAV,LU0996180864,218.99,1590624000
NAV,LU0996180864,215.77,1590537600
NAV,LU0996180864,213.86,1590451200
NAV,LU0996180864,210.79,1590364800
NAV,LU0996180864,207.96,1590105600
NAV,LU0996180864,208.53,1589932800
NAV,LU0996180864,207.33,1589846400
NAV,LU0996180864,206.12,1589760000
NAV,LU0996180864,206.53,1589500800
NAV,LU0996180864,206.13,1589414400
NAV,LU0996180864,209.33,1589328000
NAV,LU0996180864,208.85,1589241600
NAV,LU0996180864,209.90,1589155200
NAV,LU0996180864,208.20,1588896000
NAV,LU0996180864,205.01,1588809600
NAV,LU0996180864,204.43,1588636800
NAV,LU0996180864,206.59,1588204800
NAV,LU0996180864,206.91,1588118400
NAV,LU0996180864,206.67,1588032000
NAV,LU0996180864,205.95,1587945600
NAV,LU0996180864,202.02,1587686400
NAV,LU0996180864,202.23,1587600000
NAV,LU0996180864,199.36,1587513600
NAV,LU0996180864,200.24,1587427200
NAV,LU0996180864,202.58,1587340800
NAV,LU0996180864,204.38,1587081600
NAV,LU0996180864,201.53,1586995200
NAV,LU0996180864,203.47,1586908800
NAV,LU0996180864,202.15,1586822400
NAV,LU0996180864,198.02,1586390400
NAV,LU0996180864,200.13,1586304000
NAV,LU0996180864,196.31,1586217600
NAV,LU0996180864,193.94,1586131200
NAV,LU0996180864,187.65,1585872000
NAV,LU0996180864,187.70,1585785600
NAV,LU0996180864,190.76,1585699200
NAV,LU0996180864,195.69,1585612800
NAV,LU0996180864,198.75,1585526400
NAV,LU0996180864,199.31,1585267200
NAV,LU0996180864,189.74,1585180800
NAV,LU0996180864,194.13,1585094400
NAV,LU0996180864,181.38,1585008000
NAV,LU0996180864,175.78,1584921600
NAV,LU0996180864,175.85,1584662400
NAV,LU0996180864,177.67,1584576000
NAV,LU0996180864,177.36,1584489600
NAV,LU0996180864,176.81,1584403200
NAV,LU0996180864,173.43,1584316800
NAV,LU0996180864,175.94,1584057600
NAV,LU0996180864,187.70,1583971200
NAV,LU0996180864,193.92,1583884800
NAV,LU0996180864,197.75,1583798400
NAV,LU0996180864,196.41,1583712000
NAV,LU0996180864,204.35,1583452800
NAV,LU0996180864,209.93,1583366400
NAV,LU0996180864,207.34,1583280000
NAV,LU0996180864,206.40,1583193600
NAV,LU0996180864,209.08,1583107200
NAV,LU0996180864,210.49,1582848000
