#datatype measurement,tag,double,dateTime
m,ISIN,EUR,time
NAV,LU0389812933,145.05,1603411200
NAV,LU0389812933,144.95,1603324800
NAV,LU0389812933,145.33,1603238400
NAV,LU0389812933,145.57,1603152000
NAV,LU0389812933,145.78,1603065600
NAV,LU0389812933,145.97,1602806400
NAV,LU0389812933,145.91,1602720000
NAV,LU0389812933,145.82,1602633600
NAV,LU0389812933,145.70,1602547200
NAV,LU0389812933,145.40,1602460800
NAV,LU0389812933,145.31,1602201600
NAV,LU0389812933,145.28,1602115200
NAV,LU0389812933,145.03,1602028800
NAV,LU0389812933,145.32,1601942400
NAV,LU0389812933,145.28,1601856000
NAV,LU0389812933,145.71,1601596800
NAV,LU0389812933,145.76,1601510400
NAV,LU0389812933,145.79,1601424000
NAV,LU0389812933,146.10,1601337600
NAV,LU0389812933,145.83,1601251200
NAV,LU0389812933,145.98,1600992000
NAV,LU0389812933,145.90,1600905600
NAV,LU0389812933,145.84,1600819200
NAV,LU0389812933,145.88,1600732800
NAV,LU0389812933,145.88,1600646400
NAV,LU0389812933,145.56,1600387200
NAV,LU0389812933,145.72,1600300800
NAV,LU0389812933,145.62,1600214400
NAV,LU0389812933,145.64,1600128000
NAV,LU0389812933,145.68,1600041600
NAV,LU0389812933,145.62,1599782400
NAV,LU0389812933,145.28,1599696000
NAV,LU0389812933,145.20,1599609600
NAV,LU0389812933,145.42,1599523200
NAV,LU0389812933,145.03,1599436800
NAV,LU0389812933,145.15,1599177600
NAV,LU0389812933,145.72,1599091200
NAV,LU0389812933,145.49,1599004800
NAV,LU0389812933,145.02,1598918400
NAV,LU0389812933,144.87,1598832000
NAV,LU0389812933,144.72,1598572800
NAV,LU0389812933,144.66,1598486400
NAV,LU0389812933,145.08,1598400000
NAV,LU0389812933,145.17,1598313600
NAV,LU0389812933,145.72,1598227200
NAV,LU0389812933,145.69,1597968000
NAV,LU0389812933,145.62,1597881600
NAV,LU0389812933,145.45,1597795200
NAV,LU0389812933,145.53,1597708800
NAV,LU0389812933,145.40,1597622400
NAV,LU0389812933,145.14,1597363200
NAV,LU0389812933,145.18,1597276800
NAV,LU0389812933,145.54,1597190400
NAV,LU0389812933,145.79,1597104000
NAV,LU0389812933,146.44,1597017600
NAV,LU0389812933,146.47,1596758400
NAV,LU0389812933,146.68,1596672000
NAV,LU0389812933,146.50,1596585600
NAV,LU0389812933,146.79,1596499200
NAV,LU0389812933,146.37,1596412800
NAV,LU0389812933,146.59,1596153600
NAV,LU0389812933,146.62,1596067200
NAV,LU0389812933,146.23,1595980800
NAV,LU0389812933,146.34,1595894400
NAV,LU0389812933,146.18,1595808000
NAV,LU0389812933,146.08,1595548800
NAV,LU0389812933,146.21,1595462400
NAV,LU0389812933,146.12,1595376000
NAV,LU0389812933,145.91,1595289600
NAV,LU0389812933,145.84,1595203200
NAV,LU0389812933,145.68,1594944000
NAV,LU0389812933,145.81,1594857600
NAV,LU0389812933,145.58,1594771200
NAV,LU0389812933,145.74,1594684800
NAV,LU0389812933,145.39,1594598400
NAV,LU0389812933,145.76,1594339200
NAV,LU0389812933,145.79,1594252800
NAV,LU0389812933,145.50,1594166400
NAV,LU0389812933,145.39,1594080000
NAV,LU0389812933,145.14,1593993600
NAV,LU0389812933,145.16,1593648000
NAV,LU0389812933,144.88,1593561600
NAV,LU0389812933,145.37,1593475200
NAV,LU0389812933,145.51,1593388800
NAV,LU0389812933,145.54,1593129600
NAV,LU0389812933,145.38,1593043200
NAV,LU0389812933,145.19,1592956800
NAV,LU0389812933,144.94,1592870400
NAV,LU0389812933,145.10,1592784000
NAV,LU0389812933,144.87,1592524800
NAV,LU0389812933,144.90,1592438400
NAV,LU0389812933,144.80,1592352000
NAV,LU0389812933,144.70,1592265600
NAV,LU0389812933,144.96,1592179200
NAV,LU0389812933,144.90,1591920000
NAV,LU0389812933,145.13,1591833600
NAV,LU0389812933,144.28,1591747200
NAV,LU0389812933,143.97,1591660800
NAV,LU0389812933,143.58,1591574400
NAV,LU0389812933,143.41,1591315200
NAV,LU0389812933,143.93,1591228800
NAV,LU0389812933,144.19,1591142400
NAV,LU0389812933,144.80,1591056000
NAV,LU0389812933,144.89,1590969600
NAV,LU0389812933,145.20,1590710400
NAV,LU0389812933,144.93,1590624000
NAV,LU0389812933,145.00,1590537600
NAV,LU0389812933,144.74,1590451200
NAV,LU0389812933,145.17,1590105600
NAV,LU0389812933,144.99,1589932800
NAV,LU0389812933,144.75,1589846400
NAV,LU0389812933,144.56,1589760000
NAV,LU0389812933,145.10,1589500800
NAV,LU0389812933,145.27,1589414400
NAV,LU0389812933,145.11,1589328000
NAV,LU0389812933,144.83,1589241600
NAV,LU0389812933,144.51,1589155200
NAV,LU0389812933,145.10,1588809600
NAV,LU0389812933,144.62,1588723200
NAV,LU0389812933,145.17,1588636800
NAV,LU0389812933,145.32,1588550400
NAV,LU0389812933,145.56,1588204800
NAV,LU0389812933,145.32,1588118400
NAV,LU0389812933,145.36,1588032000
NAV,LU0389812933,144.92,1587945600
NAV,LU0389812933,145.30,1587686400
NAV,LU0389812933,145.04,1587600000
NAV,LU0389812933,144.73,1587513600
NAV,LU0389812933,145.27,1587427200
NAV,LU0389812933,144.64,1587340800
NAV,LU0389812933,144.87,1587081600
NAV,LU0389812933,145.16,1586995200
NAV,LU0389812933,144.91,1586908800
NAV,LU0389812933,144.30,1586822400
NAV,LU0389812933,144.59,1586390400
NAV,LU0389812933,144.08,1586304000
NAV,LU0389812933,144.02,1586217600
NAV,LU0389812933,144.59,1586131200
NAV,LU0389812933,145.48,1585872000
NAV,LU0389812933,144.90,1585785600
NAV,LU0389812933,144.85,1585699200
NAV,LU0389812933,144.94,1585612800
NAV,LU0389812933,145.11,1585526400
NAV,LU0389812933,144.79,1585267200
NAV,LU0389812933,144.79,1585180800
NAV,LU0389812933,143.56,1585094400
NAV,LU0389812933,143.55,1585008000
NAV,LU0389812933,143.95,1584921600
NAV,LU0389812933,143.33,1584662400
NAV,LU0389812933,141.08,1584576000
NAV,LU0389812933,140.29,1584489600
