#datatype measurement,tag,double,dateTime
m,ISIN,EUR,time
NAV,LU1050470373,125.00,1604016000
NAV,LU1050470373,125.04,1603929600
NAV,LU1050470373,124.69,1603843200
NAV,LU1050470373,124.86,1603756800
NAV,LU1050470373,124.52,1603670400
NAV,LU1050470373,124.37,1603411200
NAV,LU1050470373,124.20,1603324800
NAV,LU1050470373,124.58,1603238400
NAV,LU1050470373,124.74,1603152000
NAV,LU1050470373,124.91,1603065600
NAV,LU1050470373,125.17,1602806400
NAV,LU1050470373,124.98,1602720000
NAV,LU1050470373,124.92,1602633600
NAV,LU1050470373,124.78,1602547200
NAV,LU1050470373,124.64,1602460800
NAV,LU1050470373,124.43,1602201600
NAV,LU1050470373,124.13,1602115200
NAV,LU1050470373,123.86,1602028800
NAV,LU1050470373,123.95,1601942400
NAV,LU1050470373,123.96,1601856000
NAV,LU1050470373,124.12,1601596800
NAV,LU1050470373,123.96,1601510400
NAV,LU1050470373,123.82,1601424000
NAV,LU1050470373,124.07,1601337600
NAV,LU1050470373,123.81,1601251200
NAV,LU1050470373,123.83,1600992000
NAV,LU1050470373,123.67,1600905600
NAV,LU1050470373,123.73,1600819200
NAV,LU1050470373,123.78,1600732800
NAV,LU1050470373,123.77,1600646400
NAV,LU1050470373,123.33,1600387200
NAV,LU1050470373,123.48,1600300800
NAV,LU1050470373,123.33,1600214400
NAV,LU1050470373,123.19,1600128000
NAV,LU1050470373,123.12,1600041600
NAV,LU1050470373,122.95,1599782400
NAV,LU1050470373,122.55,1599696000
NAV,LU1050470373,122.67,1599609600
NAV,LU1050470373,122.89,1599523200
NAV,LU1050470373,122.60,1599436800
NAV,LU1050470373,122.80,1599177600
NAV,LU1050470373,123.11,1599091200
NAV,LU1050470373,122.95,1599004800
NAV,LU1050470373,122.25,1598918400
NAV,LU1050470373,122.04,1598832000
NAV,LU1050470373,122.27,1598572800
NAV,LU1050470373,122.18,1598486400
NAV,LU1050470373,122.36,1598400000
NAV,LU1050470373,122.33,1598313600
NAV,LU1050470373,123.16,1598227200
NAV,LU1050470373,123.18,1597968000
NAV,LU1050470373,123.33,1597881600
NAV,LU1050470373,123.10,1597795200
NAV,LU1050470373,123.01,1597708800
NAV,LU1050470373,122.88,1597622400
NAV,LU1050470373,122.50,1597363200
NAV,LU1050470373,122.40,1597276800
NAV,LU1050470373,122.92,1597190400
NAV,LU1050470373,123.15,1597104000
NAV,LU1050470373,123.53,1597017600
NAV,LU1050470373,123.40,1596758400
NAV,LU1050470373,123.42,1596672000
NAV,LU1050470373,123.13,1596585600
NAV,LU1050470373,123.46,1596499200
NAV,LU1050470373,123.02,1596412800
NAV,LU1050470373,123.10,1596153600
NAV,LU1050470373,123.28,1596067200
NAV,LU1050470373,122.89,1595980800
NAV,LU1050470373,122.97,1595894400
NAV,LU1050470373,122.94,1595808000
NAV,LU1050470373,122.60,1595548800
NAV,LU1050470373,122.95,1595462400
NAV,LU1050470373,122.86,1595376000
NAV,LU1050470373,122.46,1595289600
NAV,LU1050470373,122.49,1595203200
NAV,LU1050470373,122.09,1594944000
NAV,LU1050470373,122.28,1594857600
NAV,LU1050470373,122.04,1594771200
NAV,LU1050470373,122.08,1594684800
NAV,LU1050470373,121.62,1594598400
NAV,LU1050470373,122.13,1594339200
NAV,LU1050470373,122.12,1594252800
NAV,LU1050470373,121.95,1594166400
NAV,LU1050470373,121.80,1594080000
NAV,LU1050470373,121.71,1593993600
NAV,LU1050470373,121.65,1593734400
NAV,LU1050470373,121.74,1593648000
NAV,LU1050470373,121.20,1593561600
NAV,LU1050470373,121.81,1593475200
NAV,LU1050470373,121.78,1593388800
NAV,LU1050470373,121.83,1593129600
