#datatype measurement,tag,double,dateTime
m,ISIN,EUR,time
NAV,LU0389811885,178.70,1603411200
NAV,LU0389811885,177.54,1603324800
NAV,LU0389811885,177.70,1603238400
NAV,LU0389811885,180.09,1603152000
NAV,LU0389811885,181.07,1603065600
NAV,LU0389811885,181.06,1602806400
NAV,LU0389811885,179.12,1602720000
NAV,LU0389811885,182.97,1602633600
NAV,LU0389811885,183.17,1602547200
NAV,LU0389811885,184.10,1602460800
NAV,LU0389811885,182.87,1602201600
NAV,LU0389811885,181.42,1602115200
NAV,LU0389811885,180.43,1602028800
NAV,LU0389811885,180.64,1601942400
NAV,LU0389811885,180.11,1601856000
NAV,LU0389811885,179.07,1601596800
NAV,LU0389811885,178.19,1601510400
NAV,LU0389811885,178.27,1601424000
NAV,LU0389811885,178.56,1601337600
NAV,LU0389811885,179.53,1601251200
NAV,LU0389811885,175.27,1600992000
NAV,LU0389811885,175.45,1600905600
NAV,LU0389811885,177.24,1600819200
NAV,LU0389811885,176.24,1600732800
NAV,LU0389811885,175.85,1600646400
NAV,LU0389811885,182.09,1600387200
NAV,LU0389811885,183.33,1600300800
NAV,LU0389811885,184.33,1600214400
NAV,LU0389811885,183.28,1600128000
NAV,LU0389811885,182.05,1600041600
NAV,LU0389811885,181.40,1599782400
NAV,LU0389811885,181.13,1599696000
NAV,LU0389811885,182.63,1599609600
NAV,LU0389811885,179.61,1599523200
NAV,LU0389811885,181.24,1599436800
NAV,LU0389811885,178.33,1599177600
NAV,LU0389811885,180.72,1599091200
NAV,LU0389811885,183.13,1599004800
NAV,LU0389811885,180.15,1598918400
NAV,LU0389811885,180.43,1598832000
NAV,LU0389811885,181.95,1598572800
NAV,LU0389811885,182.93,1598486400
NAV,LU0389811885,184.13,1598400000
NAV,LU0389811885,182.56,1598313600
NAV,LU0389811885,182.71,1598227200
NAV,LU0389811885,180.24,1597968000
NAV,LU0389811885,180.55,1597881600
NAV,LU0389811885,182.06,1597795200
NAV,LU0389811885,181.26,1597708800
NAV,LU0389811885,181.82,1597622400
NAV,LU0389811885,181.67,1597363200
NAV,LU0389811885,183.45,1597276800
NAV,LU0389811885,185.01,1597190400
NAV,LU0389811885,182.83,1597104000
NAV,LU0389811885,179.35,1597017600
NAV,LU0389811885,178.71,1596758400
NAV,LU0389811885,178.26,1596672000
NAV,LU0389811885,179.94,1596585600
NAV,LU0389811885,179.21,1596499200
NAV,LU0389811885,179.31,1596412800
NAV,LU0389811885,175.28,1596153600
NAV,LU0389811885,177.04,1596067200
NAV,LU0389811885,181.43,1595980800
NAV,LU0389811885,181.55,1595894400
NAV,LU0389811885,180.82,1595808000
NAV,LU0389811885,181.45,1595548800
NAV,LU0389811885,184.15,1595462400
NAV,LU0389811885,184.50,1595376000
NAV,LU0389811885,186.21,1595289600
NAV,LU0389811885,185.66,1595203200
NAV,LU0389811885,184.38,1594944000
NAV,LU0389811885,184.10,1594857600
NAV,LU0389811885,184.96,1594771200
NAV,LU0389811885,181.83,1594684800
NAV,LU0389811885,183.22,1594598400
NAV,LU0389811885,180.97,1594339200
NAV,LU0389811885,179.82,1594252800
NAV,LU0389811885,181.20,1594166400
NAV,LU0389811885,181.90,1594080000
NAV,LU0389811885,183.45,1593993600
NAV,LU0389811885,180.54,1593734400
NAV,LU0389811885,181.58,1593648000
NAV,LU0389811885,178.50,1593561600
NAV,LU0389811885,178.13,1593475200
NAV,LU0389811885,177.55,1593388800
NAV,LU0389811885,177.15,1593129600
NAV,LU0389811885,177.48,1593043200
NAV,LU0389811885,176.14,1592956800
NAV,LU0389811885,181.20,1592870400
NAV,LU0389811885,178.84,1592784000
NAV,LU0389811885,180.18,1592524800
NAV,LU0389811885,179.05,1592438400
NAV,LU0389811885,180.32,1592352000
NAV,LU0389811885,179.41,1592265600
NAV,LU0389811885,173.98,1592179200
NAV,LU0389811885,174.50,1591920000
NAV,LU0389811885,174.01,1591833600
NAV,LU0389811885,181.38,1591747200
NAV,LU0389811885,182.42,1591660800
NAV,LU0389811885,184.64,1591574400
NAV,LU0389811885,185.07,1591315200
NAV,LU0389811885,180.63,1591228800
NAV,LU0389811885,181.97,1591142400
NAV,LU0389811885,177.01,1591056000
NAV,LU0389811885,174.31,1590969600
NAV,LU0389811885,172.79,1590710400
NAV,LU0389811885,175.51,1590624000
NAV,LU0389811885,172.82,1590537600
NAV,LU0389811885,172.21,1590451200
NAV,LU0389811885,167.59,1590105600
NAV,LU0389811885,168.99,1589932800
NAV,LU0389811885,167.70,1589846400
NAV,LU0389811885,168.91,1589760000
NAV,LU0389811885,161.79,1589500800
NAV,LU0389811885,161.09,1589414400
NAV,LU0389811885,164.52,1589328000
NAV,LU0389811885,168.27,1589241600
NAV,LU0389811885,167.76,1589155200
NAV,LU0389811885,166.53,1588809600
NAV,LU0389811885,164.68,1588723200
NAV,LU0389811885,165.31,1588636800
NAV,LU0389811885,162.10,1588550400
NAV,LU0389811885,167.37,1588204800
NAV,LU0389811885,171.11,1588118400
NAV,LU0389811885,168.48,1588032000
NAV,LU0389811885,165.64,1587945600
NAV,LU0389811885,162.17,1587686400
NAV,LU0389811885,163.95,1587600000
NAV,LU0389811885,162.45,1587513600
NAV,LU0389811885,159.42,1587427200
NAV,LU0389811885,165.48,1587340800
NAV,LU0389811885,164.01,1587081600
NAV,LU0389811885,159.84,1586995200
NAV,LU0389811885,159.27,1586908800
NAV,LU0389811885,164.61,1586822400
NAV,LU0389811885,163.57,1586390400
NAV,LU0389811885,160.79,1586304000
NAV,LU0389811885,161.24,1586217600
NAV,LU0389811885,158.08,1586131200
NAV,LU0389811885,152.87,1585872000
NAV,LU0389811885,153.95,1585785600
NAV,LU0389811885,153.25,1585699200
NAV,LU0389811885,158.08,1585612800
NAV,LU0389811885,155.22,1585526400
NAV,LU0389811885,153.45,1585267200
NAV,LU0389811885,158.80,1585180800
NAV,LU0389811885,154.90,1585094400
NAV,LU0389811885,150.15,1585008000
NAV,LU0389811885,138.35,1584921600
NAV,LU0389811885,144.07,1584662400
NAV,LU0389811885,141.71,1584576000
NAV,LU0389811885,137.38,1584489600
NAV,LU0389811885,143.05,1584403200
NAV,LU0389811885,139.59,1584316800
NAV,LU0389811885,146.58,1584057600
NAV,LU0389811885,144.50,1583971200
NAV,LU0389811885,163.78,1583884800
NAV,LU0389811885,164.67,1583798400
NAV,LU0389811885,166.39,1583712000
NAV,LU0389811885,180.02,1583452800
NAV,LU0389811885,187.35,1583366400
NAV,LU0389811885,189.97,1583280000
NAV,LU0389811885,187.21,1583193600
NAV,LU0389811885,184.41,1583107200
NAV,LU0389811885,184.13,1582848000
NAV,LU0389811885,190.80,1582761600
NAV,LU0389811885,197.98,1582675200
NAV,LU0389811885,197.94,1582588800
NAV,LU0389811885,201.47,1582502400
NAV,LU0389811885,209.84,1582243200
NAV,LU0389811885,210.97,1582156800
NAV,LU0389811885,212.73,1582070400
NAV,LU0389811885,210.47,1581984000
NAV,LU0389811885,211.79,1581897600
NAV,LU0389811885,211.08,1581638400
NAV,LU0389811885,211.50,1581552000
NAV,LU0389811885,211.57,1581465600
NAV,LU0389811885,209.74,1581379200
NAV,LU0389811885,207.92,1581292800
NAV,LU0389811885,208.30,1581033600
NAV,LU0389811885,208.87,1580947200
NAV,LU0389811885,207.87,1580860800
NAV,LU0389811885,204.85,1580774400
NAV,LU0389811885,201.59,1580688000
NAV,LU0389811885,201.67,1580428800
NAV,LU0389811885,203.98,1580342400
NAV,LU0389811885,206.05,1580256000
NAV,LU0389811885,204.75,1580169600
NAV,LU0389811885,203.54,1580083200
NAV,LU0389811885,207.74,1579824000
NAV,LU0389811885,206.01,1579737600
NAV,LU0389811885,207.90,1579651200
NAV,LU0389811885,207.61,1579564800
NAV,LU0389811885,207.95,1579478400
NAV,LU0389811885,208.72,1579219200
NAV,LU0389811885,206.74,1579132800
NAV,LU0389811885,205.82,1579046400
NAV,LU0389811885,206.21,1578960000
NAV,LU0389811885,205.63,1578873600
NAV,LU0389811885,206.01,1578614400
NAV,LU0389811885,206.27,1578528000
NAV,LU0389811885,205.72,1578441600
NAV,LU0389811885,204.87,1578355200
NAV,LU0389811885,204.43,1578268800
NAV,LU0389811885,205.15,1578009600
NAV,LU0389811885,206.16,1577923200
NAV,LU0389811885,203.99,1577664000
NAV,LU0389811885,206.23,1577404800
NAV,LU0389811885,205.44,1577145600
NAV,LU0389811885,205.05,1577059200
NAV,LU0389811885,205.59,1576800000
NAV,LU0389811885,204.01,1576713600
NAV,LU0389811885,203.63,1576627200
NAV,LU0389811885,203.87,1576540800
NAV,LU0389811885,205.09,1576454400
NAV,LU0389811885,202.28,1576195200
NAV,LU0389811885,200.24,1576108800
NAV,LU0389811885,199.58,1576022400
NAV,LU0389811885,199.11,1575936000
NAV,LU0389811885,199.60,1575849600
NAV,LU0389811885,199.61,1575590400
NAV,LU0389811885,197.74,1575504000
NAV,LU0389811885,197.54,1575417600
NAV,LU0389811885,195.28,1575331200
NAV,LU0389811885,197.11,1575244800
NAV,LU0389811885,199.79,1574985600
NAV,LU0389811885,200.72,1574899200
NAV,LU0389811885,200.95,1574812800
NAV,LU0389811885,200.33,1574726400
NAV,LU0389811885,200.24,1574640000
NAV,LU0389811885,198.22,1574380800
NAV,LU0389811885,197.32,1574294400
NAV,LU0389811885,198.02,1574208000
NAV,LU0389811885,198.85,1574121600
NAV,LU0389811885,199.11,1574035200
NAV,LU0389811885,199.16,1573776000
NAV,LU0389811885,198.38,1573689600
NAV,LU0389811885,199.06,1573603200
NAV,LU0389811885,199.60,1573516800
NAV,LU0389811885,198.83,1573430400
NAV,LU0389811885,198.88,1573171200
NAV,LU0389811885,199.42,1573084800
NAV,LU0389811885,198.73,1572998400
NAV,LU0389811885,198.30,1572912000
NAV,LU0389811885,197.88,1572825600
NAV,LU0389811885,195.90,1572566400
NAV,LU0389811885,194.54,1572480000
NAV,LU0389811885,195.59,1572393600
NAV,LU0389811885,195.35,1572307200
NAV,LU0389811885,195.66,1572220800
NAV,LU0389811885,195.23,1571961600
NAV,LU0389811885,194.93,1571875200
NAV,LU0389811885,193.73,1571788800
NAV,LU0389811885,193.52,1571702400
NAV,LU0389811885,193.27,1571616000
NAV,LU0389811885,192.07,1571356800
NAV,LU0389811885,192.68,1571270400
NAV,LU0389811885,192.84,1571184000
NAV,LU0389811885,193.14,1571097600
NAV,LU0389811885,192.04,1570752000
NAV,LU0389811885,187.83,1570665600
NAV,LU0389811885,186.61,1570579200
NAV,LU0389811885,185.82,1570492800
NAV,LU0389811885,187.90,1570406400
NAV,LU0389811885,186.55,1570147200
NAV,LU0389811885,185.24,1569974400
NAV,LU0389811885,190.39,1569888000
NAV,LU0389811885,192.92,1569801600
NAV,LU0389811885,192.26,1569542400
NAV,LU0389811885,191.32,1569456000
NAV,LU0389811885,190.13,1569369600
NAV,LU0389811885,191.18,1569283200
NAV,LU0389811885,191.27,1569196800
NAV,LU0389811885,192.68,1568937600
NAV,LU0389811885,192.11,1568851200
NAV,LU0389811885,190.90,1568764800
NAV,LU0389811885,190.90,1568678400
NAV,LU0389811885,191.02,1568592000
NAV,LU0389811885,192.10,1568332800
NAV,LU0389811885,191.58,1568246400
NAV,LU0389811885,191.24,1568160000
NAV,LU0389811885,189.71,1568073600
NAV,LU0389811885,189.37,1567987200
NAV,LU0389811885,189.88,1567728000
NAV,LU0389811885,189.31,1567641600
NAV,LU0389811885,187.87,1567555200
NAV,LU0389811885,186.19,1567468800
NAV,LU0389811885,186.61,1567382400
NAV,LU0389811885,185.96,1567123200
NAV,LU0389811885,184.70,1567036800
NAV,LU0389811885,182.77,1566950400
NAV,LU0389811885,183.01,1566864000
NAV,LU0389811885,181.93,1566518400
NAV,LU0389811885,183.40,1566432000
NAV,LU0389811885,184.10,1566345600
NAV,LU0389811885,181.88,1566259200
NAV,LU0389811885,183.18,1566172800
NAV,LU0389811885,181.13,1565913600
NAV,LU0389811885,179.25,1565740800
NAV,LU0389811885,182.24,1565654400
NAV,LU0389811885,181.23,1565568000
NAV,LU0389811885,181.80,1565308800
NAV,LU0389811885,183.30,1565222400
NAV,LU0389811885,180.05,1565136000
NAV,LU0389811885,179.63,1565049600
NAV,LU0389811885,180.45,1564963200
NAV,LU0389811885,184.80,1564704000
NAV,LU0389811885,189.49,1564617600
NAV,LU0389811885,188.70,1564531200
NAV,LU0389811885,188.38,1564444800
NAV,LU0389811885,191.11,1564358400
NAV,LU0389811885,190.94,1564099200
NAV,LU0389811885,190.34,1564012800
NAV,LU0389811885,191.42,1563926400
NAV,LU0389811885,191.35,1563840000
NAV,LU0389811885,189.46,1563753600
NAV,LU0389811885,189.20,1563494400
NAV,LU0389811885,189.01,1563408000
NAV,LU0389811885,189.43,1563321600
NAV,LU0389811885,190.14,1563235200
NAV,LU0389811885,189.47,1563148800
NAV,LU0389811885,189.08,1562889600
