#datatype measurement,tag,double,dateTime
m,ISIN,EUR,time
NAV,LU0390717543,222.69,1603670400
NAV,LU0390717543,222.20,1603411200
NAV,LU0390717543,222.27,1603324800
NAV,LU0390717543,221.69,1603238400
NAV,LU0390717543,221.00,1603152000
NAV,LU0390717543,223.53,1603065600
NAV,LU0390717543,223.17,1602806400
NAV,LU0390717543,224.31,1602720000
NAV,LU0390717543,226.12,1602633600
NAV,LU0390717543,226.62,1602547200
NAV,LU0390717543,224.63,1602460800
NAV,LU0390717543,223.67,1602201600
NAV,LU0390717543,224.33,1602115200
NAV,LU0390717543,222.13,1602028800
NAV,LU0390717543,219.74,1601942400
NAV,LU0390717543,219.22,1601856000
NAV,LU0390717543,215.62,1601596800
NAV,LU0390717543,217.39,1601510400
NAV,LU0390717543,215.82,1601424000
NAV,LU0390717543,217.43,1601337600
NAV,LU0390717543,218.43,1601251200
NAV,LU0390717543,219.04,1600992000
NAV,LU0390717543,215.72,1600905600
NAV,LU0390717543,218.76,1600819200
NAV,LU0390717543,216.25,1600732800
NAV,LU0390717543,217.99,1600646400
NAV,LU0390717543,219.72,1600387200
NAV,LU0390717543,220.97,1600300800
NAV,LU0390717543,223.97,1600214400
NAV,LU0390717543,221.31,1600128000
NAV,LU0390717543,220.41,1600041600
NAV,LU0390717543,219.75,1599782400
NAV,LU0390717543,220.01,1599696000
NAV,LU0390717543,220.77,1599609600
NAV,LU0390717543,223.04,1599523200
NAV,LU0390717543,222.31,1599436800
NAV,LU0390717543,220.88,1599177600
NAV,LU0390717543,226.84,1599091200
NAV,LU0390717543,226.28,1599004800
NAV,LU0390717543,222.25,1598918400
NAV,LU0390717543,225.15,1598832000
NAV,LU0390717543,225.72,1598572800
NAV,LU0390717543,225.26,1598486400
NAV,LU0390717543,225.08,1598400000
NAV,LU0390717543,225.36,1598313600
NAV,LU0390717543,224.20,1598227200
NAV,LU0390717543,222.94,1597968000
NAV,LU0390717543,220.76,1597881600
NAV,LU0390717543,223.87,1597795200
NAV,LU0390717543,222.49,1597708800
NAV,LU0390717543,222.33,1597622400
NAV,LU0390717543,222.96,1597363200
NAV,LU0390717543,222.32,1597276800
NAV,LU0390717543,223.50,1597190400
NAV,LU0390717543,222.95,1597104000
NAV,LU0390717543,220.68,1597017600
NAV,LU0390717543,218.22,1596758400
NAV,LU0390717543,219.92,1596672000
NAV,LU0390717543,217.95,1596585600
NAV,LU0390717543,219.42,1596499200
NAV,LU0390717543,214.83,1596412800
NAV,LU0390717543,215.08,1596153600
NAV,LU0390717543,217.56,1596067200
NAV,LU0390717543,217.96,1595980800
NAV,LU0390717543,218.68,1595894400
NAV,LU0390717543,217.57,1595808000
NAV,LU0390717543,219.61,1595548800
NAV,LU0390717543,223.41,1595462400
NAV,LU0390717543,222.93,1595376000
NAV,LU0390717543,227.99,1595289600
NAV,LU0390717543,222.06,1595203200
NAV,LU0390717543,223.10,1594944000
NAV,LU0390717543,222.62,1594857600
NAV,LU0390717543,225.40,1594771200
NAV,LU0390717543,222.36,1594684800
NAV,LU0390717543,224.05,1594598400
NAV,LU0390717543,223.19,1594339200
NAV,LU0390717543,225.05,1594252800
NAV,LU0390717543,224.32,1594166400
NAV,LU0390717543,227.02,1594080000
NAV,LU0390717543,228.50,1593993600
NAV,LU0390717543,227.76,1593734400
NAV,LU0390717543,226.52,1593648000
NAV,LU0390717543,221.83,1593561600
NAV,LU0390717543,221.11,1593475200
NAV,LU0390717543,217.51,1593388800
NAV,LU0390717543,221.01,1593129600
NAV,LU0390717543,219.74,1593043200
NAV,LU0390717543,222.52,1592956800
NAV,LU0390717543,222.83,1592870400
NAV,LU0390717543,222.02,1592784000
NAV,LU0390717543,222.38,1592524800
NAV,LU0390717543,221.56,1592438400
NAV,LU0390717543,223.66,1592352000
NAV,LU0390717543,220.20,1592265600
NAV,LU0390717543,213.59,1592179200
NAV,LU0390717543,218.54,1591920000
NAV,LU0390717543,219.65,1591833600
NAV,LU0390717543,228.56,1591747200
NAV,LU0390717543,228.65,1591660800
NAV,LU0390717543,225.56,1591574400
NAV,LU0390717543,223.96,1591315200
NAV,LU0390717543,221.29,1591228800
NAV,LU0390717543,221.26,1591142400
NAV,LU0390717543,216.52,1591056000
NAV,LU0390717543,213.58,1590969600
NAV,LU0390717543,206.71,1590710400
NAV,LU0390717543,211.59,1590624000
NAV,LU0390717543,210.25,1590537600
NAV,LU0390717543,211.63,1590451200
NAV,LU0390717543,205.82,1590364800
NAV,LU0390717543,203.29,1590105600
NAV,LU0390717543,210.32,1589932800
NAV,LU0390717543,210.70,1589846400
NAV,LU0390717543,206.76,1589760000
