#datatype measurement,tag,double,dateTime
m,ISIN,EUR,date
NAV,LU0625738058,164.98,1604016000
NAV,LU0625738058,161.84,1603929600
NAV,LU0625738058,161.45,1603843200
NAV,LU0625738058,160.39,1603670400
NAV,LU0625738058,160.57,1603411200
NAV,LU0625738058,160.66,1603324800
NAV,LU0625738058,160.78,1603238400
NAV,LU0625738058,159.93,1603152000
NAV,LU0625738058,161.36,1603065600
NAV,LU0625738058,159.01,1602806400
NAV,LU0625738058,161.12,1602720000
NAV,LU0625738058,160.53,1602547200
NAV,LU0625738058,156.71,1602460800
NAV,LU0625738058,156.69,1602201600
NAV,LU0625738058,155.79,1602115200
NAV,LU0625738058,153.92,1602028800
NAV,LU0625738058,152.07,1601942400
NAV,LU0625738058,152.65,1601510400
NAV,LU0625738058,149.27,1601424000
NAV,LU0625738058,150.25,1601337600
NAV,LU0625738058,149.63,1601251200
NAV,LU0625738058,149.82,1600992000
NAV,LU0625738058,152.19,1600905600
NAV,LU0625738058,152.00,1600819200
NAV,LU0625738058,152.20,1600732800
NAV,LU0625738058,152.32,1600646400
NAV,LU0625738058,152.46,1600387200
NAV,LU0625738058,152.97,1600300800
NAV,LU0625738058,152.95,1600214400
NAV,LU0625738058,151.36,1600128000
NAV,LU0625738058,149.39,1600041600
NAV,LU0625738058,147.78,1599782400
NAV,LU0625738058,149.11,1599696000
NAV,LU0625738058,150.67,1599609600
NAV,LU0625738058,152.24,1599523200
NAV,LU0625738058,154.45,1599436800
NAV,LU0625738058,155.24,1599177600
NAV,LU0625738058,157.97,1599091200
NAV,LU0625738058,156.88,1599004800
NAV,LU0625738058,153.34,1598918400
NAV,LU0625738058,157.04,1598832000
NAV,LU0625738058,157.91,1598572800
NAV,LU0625738058,157.75,1598486400
NAV,LU0625738058,156.00,1598400000
NAV,LU0625738058,155.69,1598313600
NAV,LU0625738058,152.49,1598227200
NAV,LU0625738058,149.21,1597968000
NAV,LU0625738058,149.59,1597881600
NAV,LU0625738058,150.43,1597795200
NAV,LU0625738058,150.10,1597708800
NAV,LU0625738058,147.87,1597622400
NAV,LU0625738058,147.74,1597363200
NAV,LU0625738058,149.27,1597276800
