#datatype measurement,tag,double,dateTime
m,ISIN,EUR,time
NAV,LU0996179007,233.39,1603411200
NAV,LU0996179007,232.84,1603324800
NAV,LU0996179007,230.83,1603238400
NAV,LU0996179007,232.16,1603152000
NAV,LU0996179007,231.86,1603065600
NAV,LU0996179007,237.08,1602806400
NAV,LU0996179007,237.56,1602720000
NAV,LU0996179007,236.94,1602633600
NAV,LU0996179007,238.92,1602547200
NAV,LU0996179007,239.05,1607558400
NAV,LU0996179007,234.40,1599696000
NAV,LU0996179007,233.58,1597017600
NAV,LU0996179007,231.43,1594339200
NAV,LU0996179007,226.90,1591747200
NAV,LU0996179007,230.08,1589068800
NAV,LU0996179007,227.49,1581292800
NAV,LU0996179007,229.28,1578614400
NAV,LU0996179007,228.23,1601424000
NAV,LU0996179007,226.25,1601337600
NAV,LU0996179007,228.99,1601251200
NAV,LU0996179007,225.84,1600992000
NAV,LU0996179007,221.81,1600905600
NAV,LU0996179007,220.49,1600819200
NAV,LU0996179007,225.21,1600732800
NAV,LU0996179007,222.26,1600646400
NAV,LU0996179007,222.56,1600387200
NAV,LU0996179007,226.16,1600300800
NAV,LU0996179007,227.58,1600214400
NAV,LU0996179007,228.30,1600128000
NAV,LU0996179007,226.60,1600041600
NAV,LU0996179007,224.56,1604880000
NAV,LU0996179007,223.63,1602201600
NAV,LU0996179007,228.89,1599609600
NAV,LU0996179007,224.59,1596931200
NAV,LU0996179007,230.38,1594252800
NAV,LU0996179007,230.90,1586390400
NAV,LU0996179007,232.10,1583712000
NAV,LU0996179007,240.38,1581206400
NAV,LU0996179007,234.31,1578528000
NAV,LU0996179007,232.61,1598832000
NAV,LU0996179007,234.31,1598572800
NAV,LU0996179007,234.94,1598486400
NAV,LU0996179007,234.01,1598400000
NAV,LU0996179007,231.52,1598313600
NAV,LU0996179007,230.79,1598227200
NAV,LU0996179007,229.15,1597968000
NAV,LU0996179007,227.16,1597881600
NAV,LU0996179007,225.31,1597795200
NAV,LU0996179007,226.00,1597708800
NAV,LU0996179007,226.38,1597622400
NAV,LU0996179007,226.57,1597363200
NAV,LU0996179007,226.46,1597276800
NAV,LU0996179007,227.52,1607385600
NAV,LU0996179007,224.99,1604793600
NAV,LU0996179007,226.80,1602115200
NAV,LU0996179007,225.76,1594166400
NAV,LU0996179007,224.56,1591574400
NAV,LU0996179007,222.34,1588896000
NAV,LU0996179007,223.38,1586304000
NAV,LU0996179007,222.84,1583625600
NAV,LU0996179007,219.61,1596153600
NAV,LU0996179007,218.48,1596067200
NAV,LU0996179007,219.76,1595980800
NAV,LU0996179007,217.90,1595894400
NAV,LU0996179007,218.35,1595808000
NAV,LU0996179007,219.65,1595548800
NAV,LU0996179007,221.51,1595462400
NAV,LU0996179007,224.36,1595376000
NAV,LU0996179007,225.16,1595289600
NAV,LU0996179007,225.75,1595203200
NAV,LU0996179007,224.21,1594944000
NAV,LU0996179007,223.29,1594857600
NAV,LU0996179007,224.35,1594771200
NAV,LU0996179007,222.79,1594684800
NAV,LU0996179007,220.37,1594598400
NAV,LU0996179007,223.36,1602028800
NAV,LU0996179007,221.64,1599436800
NAV,LU0996179007,222.06,1596758400
NAV,LU0996179007,221.22,1594080000
NAV,LU0996179007,223.00,1591488000
NAV,LU0996179007,220.91,1583539200
NAV,LU0996179007,221.15,1581033600
NAV,LU0996179007,219.55,1578355200
NAV,LU0996179007,218.94,1593475200
NAV,LU0996179007,215.31,1593388800
NAV,LU0996179007,213.02,1593129600
NAV,LU0996179007,218.08,1593043200
NAV,LU0996179007,214.60,1592956800
NAV,LU0996179007,219.15,1592870400
NAV,LU0996179007,219.84,1592784000
NAV,LU0996179007,219.68,1592524800
NAV,LU0996179007,220.19,1592438400
NAV,LU0996179007,220.02,1592352000
NAV,LU0996179007,220.53,1592265600
NAV,LU0996179007,215.66,1592179200
NAV,LU0996179007,214.37,1607212800
NAV,LU0996179007,209.09,1604620800
